state,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Arizona,2/21/2020,2.0,1.0,10.0,4.0,0.0,0.0
Arkansas,2/21/2020,5.0,0.0,19.0,2.0,2.0,-1.0
California,2/21/2020,1.0,0.0,8.0,0.0,1.0,0.0
Colorado,2/21/2020,3.0,3.0,4.0,3.0,3.0,-1.0
Connecticut,2/21/2020,1.0,-5.0,-3.0,1.0,1.0,1.0
Delaware,2/21/2020,1.0,-2.0,-11.0,1.0,2.0,0.0
District of Columbia,2/21/2020,-3.0,-11.0,7.0,-3.0,-5.0,2.0
Florida,2/21/2020,0.0,-1.0,-12.0,0.0,0.0,1.0
Georgia,2/21/2020,2.0,-1.0,23.0,4.0,-3.0,0.0
Hawaii,2/21/2020,1.0,-1.0,7.0,2.0,2.0,0.0
Idaho,2/21/2020,4.0,2.0,22.0,7.0,3.0,-1.0
Illinois,2/21/2020,2.0,0.0,5.0,5.0,2.0,-1.0
Indiana,2/21/2020,4.0,-2.0,12.0,6.0,2.0,-1.0
Iowa,2/21/2020,9.0,6.0,13.0,4.0,3.0,-3.0
Kansas,2/21/2020,9.0,-4.0,22.0,4.0,7.0,-3.0
Kentucky,2/21/2020,2.0,2.0,12.0,3.0,2.0,0.0
Louisiana,2/21/2020,8.0,5.0,13.0,16.0,-1.0,0.0
Maine,2/21/2020,3.0,-4.0,-2.0,4.0,-11.0,3.0
Maryland,2/21/2020,-1.0,-3.0,-4.0,-1.0,3.0,0.0
Massachusetts,2/21/2020,0.0,-6.0,-9.0,-3.0,-9.0,3.0
Michigan,2/21/2020,-1.0,-5.0,4.0,9.0,0.0,1.0
Minnesota,2/21/2020,2.0,3.0,6.0,8.0,2.0,0.0
Mississippi,2/21/2020,1.0,0.0,2.0,9.0,0.0,0.0
Missouri,2/21/2020,10.0,-2.0,23.0,9.0,18.0,-2.0
Montana,2/21/2020,4.0,1.0,3.0,4.0,2.0,-1.0
Nebraska,2/21/2020,8.0,3.0,21.0,7.0,2.0,-1.0
Nevada,2/21/2020,2.0,2.0,13.0,2.0,1.0,0.0
New Hampshire,2/21/2020,1.0,-3.0,9.0,12.0,1.0,1.0
New Jersey,2/21/2020,-1.0,-3.0,-2.0,0.0,2.0,1.0
New Mexico,2/21/2020,3.0,6.0,0.0,3.0,5.0,-1.0
New York,2/21/2020,-1.0,-5.0,-8.0,-6.0,-9.0,3.0
North Carolina,2/21/2020,-8.0,-14.0,-13.0,-5.0,-19.0,9.0
North Dakota,2/21/2020,4.0,-2.0,12.0,7.0,4.0,0.0
Ohio,2/21/2020,2.0,-2.0,19.0,6.0,3.0,0.0
Oklahoma,2/21/2020,3.0,-3.0,2.0,3.0,3.0,0.0
Oregon,2/21/2020,4.0,1.0,37.0,7.0,4.0,-1.0
Pennsylvania,2/21/2020,0.0,-2.0,6.0,1.0,3.0,1.0
Rhode Island,2/21/2020,2.0,-7.0,1.0,-1.0,-3.0,2.0
South Carolina,2/21/2020,2.0,-2.0,-7.0,5.0,-2.0,1.0
South Dakota,2/21/2020,4.0,6.0,22.0,4.0,5.0,-1.0
Tennessee,2/21/2020,0.0,-2.0,7.0,3.0,0.0,0.0
Texas,2/21/2020,2.0,0.0,-2.0,2.0,3.0,-1.0
Utah,2/21/2020,4.0,9.0,25.0,4.0,6.0,-1.0
